sampling_date,plant_id,Peletizadora,sampling_hash,product_name,product_code,Turno,batch,Durabilidad,fines,Presión,Carga,Temp Acondicionamiento,Temp Enfriamiento,Hum Acondicionamiento,Hum Enfriamiento,Temp Ambiente,Hum Ambiente,observations,Matriz Dado,time,mixing_humidity,product_humidity,product_temperature,sampled_by,type_1,retention_time,type_2,efficiency,quantity,company_name,source_file,Delta Temp,Eficiencia Acondicionador,delta_temp_group,"product_code,Producto",Estructura Dieta,Amp
2024-10-19,18,1,2c78d9b3aab6907637e19af11d447ea8,levante,601-562,2,1323.0,99.7,0.3,20.0,40.0,76.0,33.9,14.1,11.1,38.0,35.0,amp 115,mt 04,15:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-4.1,5.4,<0,"601-562,levante",Levante,115.0
2024-10-19,18,2,c667cbaafbe9b930719242d9530c3809,levante,601-562,2,1323.0,97.4,2.6,19.0,77.0,76.0,34.7,13.34,12.0,33.4,48.0,amp 112-126,mt 07,14:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,1.3,5.7,1-2,"601-562,levante",Levante,112.0
2024-10-19,18,1,caecc5f7052f701f52ee63562ae53448,gestacion choque 1,113-812,3,1324.0,99.7,0.3,18.0,40.0,74.6,29.3,14.79,12.55,31.8,45.0,amp 98.32,mt 04,01:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-2.5,5.0,<0,"113-812,gestacion choque 1",Cria,98.32
2024-10-19,18,2,54e8ba270e446c98fc33be362c8eea52,gestacion choque 1,113-812,3,1324.0,99.5,0.5,18.0,84.0,82.0,28.9,13.64,11.61,28.7,51.0,amp 126,mt 07,00:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.2,6.0,0-1,"113-812,gestacion choque 1",Cria,126.0
2024-10-19,18,1,56a42d58b02a455c1b406ff177173d08,gestacion choque 1,113-812,2,1324.0,99.6,0.4,20.0,40.0,75.0,30.4,15.03,12.14,34.0,38.0,amp 110,mt 04,20:00:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-3.6,5.0,<0,"113-812,gestacion choque 1",Cria,110.0
2024-10-19,18,2,6eae1cb9d688c1ca4f3e5dbd32f7c17a,gestacion choque 1,113-812,2,1324.0,99.1,0.9,20.0,80.0,83.0,28.4,13.28,11.65,31.8,40.0,amp 102-119,mt 07,18:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-3.4,6.3,<0,"113-812,gestacion choque 1",Cria,102.0
2024-10-19,18,1,c9a317180a060dd853dce9e123c5b51b,gestacion 2,110-398,3,1325.0,99.7,0.3,18.0,40.0,74.6,29.8,14.4,12.52,30.3,50.0,amp 110,mt 04,02:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.5,5.2,<0,"110-398,gestacion 1",Cria,110.0
2024-10-19,18,1,c9a317180a060dd853dce9e123c5b51b,gestacion 2,110-398,3,1325.0,99.7,0.3,18.0,40.0,74.6,29.8,14.4,12.52,30.3,50.0,amp 110,mt 04,02:30:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,-0.5,5.2,<0,"110-398,gestacion 2",Cria,110.0
2024-10-19,18,2,cc98f8fb3c7d48322fc72bf26a6efd78,gestacion 2,110-398,3,1325.0,99.4,0.6,20.0,80.0,81.0,28.1,13.64,11.51,28.1,53.0,amp 128,mt 07,02:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.0,5.9,0-1,"110-398,gestacion 1",Cria,128.0
2024-10-19,18,2,cc98f8fb3c7d48322fc72bf26a6efd78,gestacion 2,110-398,3,1325.0,99.4,0.6,20.0,80.0,81.0,28.1,13.64,11.51,28.1,53.0,amp 128,mt 07,02:20:00,,,,,,,,,,Cervalle,SEGUIMIENTO PROCESO PELETIZADO.xlsm,0.0,5.9,0-1,"110-398,gestacion 2",Cria,128.0
